dataset,feature,pairs,agreement,person_balanced_agreement,people
BIG_IDEAs_development,late_positive_area,165,0.4727272727272727,0.5458338138622996,5
BIG_IDEAs_development,tail_mean,171,0.4853801169590643,0.5533376744807319,5
BIG_IDEAs_development,peak_minute,162,0.5987654320987654,0.5909813464652174,5
BIG_IDEAs_development,late_fraction,164,0.4695121951219512,0.5599055735290249,5
CGMacros,late_positive_area,756,0.5846560846560847,0.6012377177196194,34
CGMacros,tail_mean,794,0.5969773299748111,0.6196229818448621,34
CGMacros,peak_minute,748,0.5668449197860963,0.6090041067727114,34
CGMacros,late_fraction,755,0.5933774834437087,0.6066876698732686,34
