experiment,days,within10,mape,mae,max_ape,file,sha256
daily_initial,44,13,20.081652312374025,39.55906432854727,76.71429325308179,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/later_results.csv,f080b728e4b6d789daec2112f474afa915200f4982b691c1427ff19ffd69b32b
daily_context,44,18,20.765220831927305,42.45397560084564,69.69590910102306,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/context_probe/later_results.csv,cdafdabef5816c3cfe946ff7e7f312617089e851d03a6a4fd09fbe2ad8cfd26b
delayed_linear,44,15,18.93591600272922,37.59604594618312,73.71410535302878,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/delayed_probe/later_results.csv,9e973d27e4b23cd7de4f0ec5fa794fd34919912a621a4e34da6ca97408735b57
personal_interpolation,44,12,23.853674694220135,44.88494924707427,109.44612945745449,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/personal_daily/later_results.csv,9b0b19d9ce14a43ed8d6d02504363351663fb9feb5bd79de4f9a02eede56e11d
shared_trees,44,14,20.00922953479938,39.953334595959596,96.12297358834242,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/shared_daily/later_results.csv,9c00ceb8ec5f71550e98bfc452e38c9ff993c952361c8fff7428df8044eaadab
crossfit_trees,44,15,20.26920044628343,40.7332230454136,90.4278053954873,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/crossfit_daily/later_results.csv,d1e49ca9a47a82f64ab9d82fe57624a6efdfe8f95d9cb72d9dd2e20a42011cd8
pair_change,44,13,20.472481800007778,42.15376350151342,91.15514823009265,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/pair_change/later_results.csv,63305b7ab7dbd5ce671d1b6a481eada223ed27e28dd2b1d0694c60734fa036a3
excursion_selection,44,15,18.93591600272922,37.59604594618312,73.71410535302878,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/excursion_probe/later_results.csv,b2c123f420ea9faa1dd9e395d442cbb8b33ee4a5cfd066bcc476d84c4ea84751
full_pool,44,15,20.99940931316249,42.59049540691846,60.49335808636434,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/full_pool_validation/later_results.csv,50d871c3a32e94f1cc6debad0e3b3511e83f35d5c674f5ed8a999da7c9dd0b78
phenotype_basic,44,15,20.113180824187467,39.269724370578274,77.86954756410171,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/phenotype_probe/later_results.csv,f93f6b2c01fc7048b57cbf9504790397ccb6eb5a10238b013d2e371d600e9b6e
phenotype_labs,44,16,19.1976469526083,37.56618247582322,74.35614300766356,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/phenotype_probe/later_results.csv,f93f6b2c01fc7048b57cbf9504790397ccb6eb5a10238b013d2e371d600e9b6e
ensemble_learned,44,14,19.928424363848205,40.835321960448475,63.92142244321231,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/ensemble_probe/later_results.csv,690b01a2f12eb0d248efcdb93b3b4d18fbbbd0fb36ecfb175a96a02d99cde616
ensemble_uniform,44,16,18.395123712408267,38.09514337393056,67.47715110111771,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/ensemble_probe/later_results.csv,690b01a2f12eb0d248efcdb93b3b4d18fbbbd0fb36ecfb175a96a02d99cde616
timing_diagnostic,44,16,20.338147467003402,41.844524551521495,61.94298824393351,<home>/Documents/Codex/2026-09-04/3-2/outputs/carb_fresh_audit/daily_totals/timing_probe/later_results.csv,f4a604dde9828155067d49cf5d31af093f01b6ad11d1682cb139ef987d5942dd
