macro,pid,method,direction_norm,other_people
Carbs,1,personal_only,2.969593641318257,25
Carbs,1,half_population,3.3397744343157134,25
Carbs,1,population_only,6.458587215900768,25
Carbs,2,personal_only,5.417306607932926,25
Carbs,2,half_population,5.556995428941697,25
Carbs,2,population_only,6.2647277395584915,25
Carbs,3,personal_only,6.146257825764469,25
Carbs,3,half_population,5.682490236306111,25
Carbs,3,population_only,6.272870298179117,25
Carbs,4,personal_only,5.694427797110781,25
Carbs,4,half_population,5.621026133716011,25
Carbs,4,population_only,6.26503759763445,25
Carbs,5,personal_only,10.092643422174666,25
Carbs,5,half_population,6.712222393707246,25
Carbs,5,population_only,6.30754268484078,25
Carbs,6,personal_only,2.13853002260814,25
Carbs,6,half_population,3.2822100226300357,25
Carbs,6,population_only,6.450354530501483,25
Carbs,8,personal_only,7.282333482640091,25
Carbs,8,half_population,6.483344907567096,25
Carbs,8,population_only,6.191550152262505,25
Carbs,9,personal_only,11.597219934280872,25
Carbs,9,half_population,7.958829606209714,25
Carbs,9,population_only,6.167842724406636,25
Carbs,10,personal_only,8.042544187432403,25
Carbs,10,half_population,6.777298150774379,25
Carbs,10,population_only,6.176700620705453,25
Carbs,14,personal_only,9.703440491372863,25
Carbs,14,half_population,7.735980041603106,25
Carbs,14,population_only,6.083721230387722,25
Carbs,17,personal_only,4.620215856193641,25
Carbs,17,half_population,5.338236014668078,25
Carbs,17,population_only,6.270886705447832,25
Carbs,27,personal_only,2.091219089170611,25
Carbs,27,half_population,4.09496108393127,25
Carbs,27,population_only,6.371794757076208,25
Carbs,31,personal_only,4.753066202147355,25
Carbs,31,half_population,5.382287543794147,25
Carbs,31,population_only,6.26858202311327,25
Carbs,32,personal_only,3.9351640211071093,25
Carbs,32,half_population,3.2134021378158892,25
Carbs,32,population_only,6.489842319604794,25
Carbs,33,personal_only,11.134788745556122,25
Carbs,33,half_population,8.507937063802991,25
Carbs,33,population_only,6.009559070155404,25
Carbs,34,personal_only,4.186890375972145,25
Carbs,34,half_population,5.037670749287938,25
Carbs,34,population_only,6.300090411473772,25
Carbs,35,personal_only,12.224420050793054,25
Carbs,35,half_population,8.610303676884065,25
Carbs,35,population_only,6.069667303079142,25
Carbs,36,personal_only,8.313807396376,25
Carbs,36,half_population,6.992131242541516,25
Carbs,36,population_only,6.151104299211098,25
Carbs,38,personal_only,7.550046552693952,25
Carbs,38,half_population,6.705561748320884,25
Carbs,38,population_only,6.1648730702901835,25
Carbs,39,personal_only,13.205847155444838,25
Carbs,39,half_population,9.544202305748826,25
Carbs,39,population_only,5.917215105366257,25
Carbs,41,personal_only,16.829328175779107,25
Carbs,41,half_population,11.195136416969548,25
Carbs,41,population_only,5.801737942760133,25
Carbs,42,personal_only,8.906148669710388,25
Carbs,42,half_population,6.593298993087216,25
Carbs,42,population_only,6.256767457029058,25
Carbs,43,personal_only,6.681111901160439,25
Carbs,43,half_population,6.215582953269918,25
Carbs,43,population_only,6.210169341993487,25
Carbs,44,personal_only,3.9748850152367607,25
Carbs,44,half_population,4.79399299790327,25
Carbs,44,population_only,6.326232570786703,25
Carbs,45,personal_only,8.944032328078553,25
Carbs,45,half_population,7.271908360539317,25
Carbs,45,population_only,6.13237406059412,25
Carbs,49,personal_only,18.175759441974275,25
Carbs,49,half_population,11.926434518318034,25
Carbs,49,population_only,5.7207791526485865,25
Fat,1,personal_only,3.9622875781679214,24
Fat,1,half_population,1.796092170191508,24
Fat,1,population_only,2.034417425922855,24
Fat,2,personal_only,5.386003154693032,24
Fat,2,half_population,2.1903046064948097,24
Fat,2,population_only,2.1024049580082798,24
Fat,3,personal_only,4.74524599324494,24
Fat,3,half_population,2.5187440821539884,24
Fat,3,population_only,1.969933985492267,24
Fat,4,personal_only,4.598425574330917,24
Fat,4,half_population,2.5985996404069,24
Fat,4,population_only,1.9371139762066967,24
Fat,5,personal_only,7.056930785323288,24
Fat,5,half_population,4.119073568509331,24
Fat,5,population_only,1.7804501283383407,24
Fat,6,personal_only,3.607071523907452,24
Fat,6,half_population,1.590371696124593,24
Fat,6,population_only,2.036659472499097,24
Fat,8,personal_only,3.2327313182920197,24
Fat,8,half_population,1.8368483819434007,24
Fat,8,population_only,1.9734204785051825,24
Fat,9,personal_only,9.417085088263077,24
Fat,9,half_population,4.854463505731652,24
Fat,9,population_only,1.9085053831870744,24
Fat,10,personal_only,8.758506357278119,24
Fat,10,half_population,5.052448545712689,24
Fat,10,population_only,1.6740740113646235,24
Fat,12,personal_only,3.544773902614964,24
Fat,12,half_population,2.1894420316817946,24
Fat,12,population_only,1.9327734721639256,24
Fat,13,personal_only,5.28387879852201,24
Fat,13,half_population,3.175785287516747,24
Fat,13,population_only,1.858768733870158,24
Fat,14,personal_only,5.388524895952116,24
Fat,14,half_population,3.375038176958619,24
Fat,14,population_only,1.809572333928113,24
Fat,17,personal_only,9.121005633381241,24
Fat,17,half_population,5.229057559247546,24
Fat,17,population_only,1.6603571676739441,24
Fat,27,personal_only,3.4750016086900013,24
Fat,27,half_population,1.4077698694978429,24
Fat,27,population_only,2.0504197799232493,24
Fat,31,personal_only,2.63970687883099,24
Fat,31,half_population,1.8857820887225565,24
Fat,31,population_only,1.9281088864405305,24
Fat,32,personal_only,7.593585098192225,24
Fat,32,half_population,3.4062123601939684,24
Fat,32,population_only,2.1048873470948832,24
Fat,34,personal_only,8.248454813037476,24
Fat,34,half_population,4.6403532738726705,24
Fat,34,population_only,1.7708078007140673,24
Fat,35,personal_only,11.86216845961875,24
Fat,35,half_population,5.597505455845246,24
Fat,35,population_only,2.1117855609668243,24
Fat,36,personal_only,6.522603681088499,24
Fat,36,half_population,2.890070268841596,24
Fat,36,population_only,2.0894509490795667,24
Fat,38,personal_only,11.39603127621965,24
Fat,38,half_population,5.38388174114836,24
Fat,38,population_only,2.1014015687040986,24
Fat,41,personal_only,13.952691547186683,24
Fat,41,half_population,7.536379250912127,24
Fat,41,population_only,1.5098208140135703,24
Fat,42,personal_only,8.880444968979017,24
Fat,42,half_population,4.662183944749786,24
Fat,42,population_only,1.884541296647816,24
Fat,43,personal_only,3.867126670059791,24
Fat,43,half_population,2.1561431697922324,24
Fat,43,population_only,1.964772502167813,24
Fat,45,personal_only,12.529929902479426,24
Fat,45,half_population,6.243422941220278,24
Fat,45,population_only,1.951454986108107,24
Fat,49,personal_only,12.343668730257962,24
Fat,49,half_population,6.7202317242627565,24
Fat,49,population_only,1.5937838317608672,24
Protein,2,personal_only,3.6133854972955928,27
Protein,2,half_population,2.7217323098613315,27
Protein,2,population_only,3.494747449647576,27
Protein,4,personal_only,3.3895165310187805,27
Protein,4,half_population,2.8383052227091614,27
Protein,4,population_only,3.472100261096515,27
Protein,5,personal_only,6.570820482875927,27
Protein,5,half_population,4.019857947752657,27
Protein,5,population_only,3.4615616328275136,27
Protein,6,personal_only,1.9521721849441,27
Protein,6,half_population,2.2708894271319098,27
Protein,6,population_only,3.495299895705024,27
Protein,8,personal_only,4.275415015377923,27
Protein,8,half_population,3.578152615909575,27
Protein,8,population_only,3.402445636982487,27
Protein,9,personal_only,8.122923447292761,27
Protein,9,half_population,5.006384420273025,27
Protein,9,population_only,3.384839807133903,27
Protein,10,personal_only,4.7358472279986135,27
Protein,10,half_population,3.5522136789607113,27
Protein,10,population_only,3.4291048762962353,27
Protein,12,personal_only,7.631780280375864,27
Protein,12,half_population,5.155937437342728,27
Protein,12,population_only,3.3070740065403914,27
Protein,13,personal_only,3.6263128144299914,27
Protein,13,half_population,3.1003696130495655,27
Protein,13,population_only,3.4463861611040665,27
Protein,14,personal_only,4.831686156581619,27
Protein,14,half_population,3.935427650572375,27
Protein,14,population_only,3.3691660278830007,27
Protein,15,personal_only,3.0039479876317268,27
Protein,15,half_population,3.1136561455147715,27
Protein,15,population_only,3.4222864347285205,27
Protein,17,personal_only,3.8901476793230034,27
Protein,17,half_population,3.3193719433655904,27
Protein,17,population_only,3.425598877704345,27
Protein,27,personal_only,1.5832282116763627,27
Protein,27,half_population,2.2426923654302273,27
Protein,27,population_only,3.4911876946113907,27
Protein,31,personal_only,5.07024010385542,27
Protein,31,half_population,4.089582421086727,27
Protein,31,population_only,3.3538700680121365,27
Protein,32,personal_only,3.5463256505621006,27
Protein,32,half_population,1.6650450291162693,27
Protein,32,population_only,3.592857304407695,27
Protein,33,personal_only,10.988671147824988,27
Protein,33,half_population,6.964316490296189,27
Protein,33,population_only,3.14321554574274,27
Protein,34,personal_only,4.438847572128947,27
Protein,34,half_population,3.7557905039665025,27
Protein,34,population_only,3.3806738389612634,27
Protein,35,personal_only,9.159304080533051,27
Protein,35,half_population,5.291416896499735,27
Protein,35,population_only,3.4159829032866864,27
Protein,36,personal_only,6.0284368305419544,27
Protein,36,half_population,3.9949341231235764,27
Protein,36,population_only,3.4292920088215246,27
Protein,38,personal_only,6.313358607019442,27
Protein,38,half_population,4.552679475961649,27
Protein,38,population_only,3.340185256290257,27
Protein,39,personal_only,4.408053415891801,27
Protein,39,half_population,3.294281232617244,27
Protein,39,population_only,3.4524528453091765,27
Protein,41,personal_only,7.553467815054079,27
Protein,41,half_population,5.247216727755102,27
Protein,41,population_only,3.2782011982268506,27
Protein,42,personal_only,11.998599479222976,27
Protein,42,half_population,7.451998239260295,27
Protein,42,population_only,3.1077339722905077,27
Protein,43,personal_only,3.6392694355864044,27
Protein,43,half_population,3.3770344158068784,27
Protein,43,population_only,3.4066642202738477,27
Protein,44,personal_only,2.091804403178515,27
Protein,44,half_population,1.420288732060455,27
Protein,44,population_only,3.5666607198545135,27
Protein,45,personal_only,7.2841575659976625,27
Protein,45,half_population,3.9872623677574084,27
Protein,45,population_only,3.5197456306276864,27
Protein,47,personal_only,4.718990231146162,27
Protein,47,half_population,3.7539044866961455,27
Protein,47,population_only,3.39501887315153,27
Protein,49,personal_only,9.980355705083863,27
Protein,49,half_population,6.541992366256461,27
Protein,49,population_only,3.158205176910132,27
