pid,midpoint_shift_g,later_to_calibration_projected_contrast
1,-0.763675412121863,-0.035285392033514655
2,30.474016911481698,1.5836705045950488
3,-16.965911273283012,1.3349566060341422
4,0.8885633035896348,1.0647557494468074
5,8.497715872261196,0.1948421687839602
6,-7.755462334985822,-0.05520722917890656
8,-3.0860206238281336,1.0529000703553033
9,-10.667646303472182,0.45279246104843035
10,0.15429177392006466,0.09567494967929523
14,-2.2379989317180957,0.6236316491593731
17,-17.566359185895234,0.37468000722992806
27,-18.26794488394131,0.5439555794326237
31,-11.044953148716772,0.5727348319495239
32,-15.388086990747126,-1.2623678086986132
33,-5.167587824627027,1.6601354386862055
34,-14.406157466496474,0.37354897894065126
35,-0.811985870999834,0.39759083987463417
36,37.31614002964865,1.3786574858874527
38,-4.022911222634441,0.3990618090266795
39,-4.664632148483172,0.931844169911693
41,-14.468386268702393,0.5465320683209859
42,-23.43328676948678,-0.4536963238448479
43,0.03822917568540163,0.37089945291997395
44,20.012776105955552,1.0403379774474903
45,-14.959935171442968,0.17903541441444387
49,-13.02650661776044,0.10510649169543071
