sensor,method,meals,hits,relative_error
Libre GL,pre10/120/prior0.25/lambda0.1,88,0,0.5422219487423424
Libre GL,pre10/120/prior0.25/lambda1,88,0,0.5448950423600908
Libre GL,pre10/120/prior0.25/lambda10,88,0,0.5470211456441049
Libre GL,pre10/120/prior0.25/lambda100,88,0,0.5498389065099508
Libre GL,pre10/120/prior0/lambda0,88,2,0.541141096625437
Libre GL,pre10/120/prior0/lambda0.01,88,2,0.5275518027460084
Libre GL,pre10/120/prior0/lambda0.1,88,0,0.5052412706494865
Libre GL,pre10/120/prior0/lambda1,88,0,0.42402241704290505
Libre GL,pre10/120/prior0/lambda10,88,10,0.30514171888964914
Libre GL,pre10/120/prior0/lambda100,88,22,0.2688896025393915
Libre GL,pre10/180/prior0.25/lambda0,88,2,0.5024918795320674
Libre GL,pre10/180/prior0.25/lambda0.01,88,1,0.5072189064929715
Libre GL,pre10/180/prior0.25/lambda0.1,88,0,0.5168694991646904
Libre GL,pre10/180/prior0.25/lambda1,88,0,0.5330928244519689
Libre GL,pre10/180/prior0.25/lambda10,88,0,0.5467055302448358
Libre GL,pre10/180/prior0.25/lambda100,88,0,0.5498355822878097
Libre GL,pre10/180/prior0/lambda0,88,2,0.5024918795320674
Libre GL,pre10/180/prior0/lambda0.01,88,2,0.5000875024762166
Libre GL,pre10/180/prior0/lambda0.1,88,1,0.4837075932389902
Libre GL,pre10/180/prior0/lambda1,88,0,0.41838935941343197
Libre GL,pre10/180/prior0/lambda10,88,10,0.30494262733213534
Libre GL,pre10/180/prior0/lambda100,88,22,0.2688642518759745
Libre GL,pre10/60/prior0.25/lambda0,88,3,0.5839238491123191
Libre GL,pre10/60/prior0.25/lambda0.01,88,3,0.5824704524545798
Libre GL,pre10/60/prior0.25/lambda0.1,88,2,0.5712195434665766
Libre GL,pre10/60/prior0.25/lambda1,88,1,0.5454784472443843
Libre GL,pre10/60/prior0.25/lambda10,88,0,0.5412344516322976
Libre GL,pre10/60/prior0.25/lambda100,88,0,0.5490914667017776
Libre GL,pre10/60/prior0/lambda0,88,3,0.5839238491123191
Libre GL,pre10/60/prior0/lambda0.01,88,3,0.5647683551724402
Libre GL,pre10/60/prior0/lambda0.1,88,4,0.5173235532413719
Libre GL,pre10/60/prior0/lambda1,88,4,0.42662734489060233
Libre GL,pre10/60/prior0/lambda10,88,10,0.30682626682456676
Libre GL,pre10/60/prior0/lambda100,88,22,0.269127831540191
Libre GL,start/120/prior0.25/lambda0,88,1,0.5520537696709251
Libre GL,start/120/prior0.25/lambda0.01,88,1,0.5435559016788175
Libre GL,start/120/prior0.25/lambda0.1,88,0,0.5408318764293439
Libre GL,start/120/prior0.25/lambda1,88,0,0.5448487974209376
Libre GL,start/120/prior0.25/lambda10,88,0,0.5467191460579158
Libre GL,start/120/prior0.25/lambda100,88,0,0.5498044243744666
Libre GL,start/120/prior0/lambda0,88,1,0.5520537696709251
Libre GL,start/120/prior0/lambda0.01,88,1,0.5334658563511817
Libre GL,start/120/prior0/lambda0.1,88,0,0.5025669869607091
Libre GL,start/120/prior0/lambda1,88,0,0.42555882554447955
Libre GL,start/120/prior0/lambda10,88,10,0.30582081794923216
Libre GL,start/120/prior0/lambda100,88,22,0.2689863985793413
Libre GL,start/180/prior0.25/lambda0,88,1,0.5104813446305865
Libre GL,start/180/prior0.25/lambda0.01,88,1,0.5115076393950729
Libre GL,start/180/prior0.25/lambda0.1,88,0,0.5152318653293079
Libre GL,start/180/prior0.25/lambda1,88,0,0.5342347135900207
Libre GL,start/180/prior0.25/lambda10,88,0,0.5468814847027837
Libre GL,start/180/prior0.25/lambda100,88,0,0.5498565713108536
Libre GL,start/180/prior0/lambda0,88,1,0.5104813446305865
Libre GL,start/180/prior0/lambda0.01,88,2,0.5057505764187329
Libre GL,start/180/prior0/lambda0.1,88,1,0.4827979320222722
Libre GL,start/180/prior0/lambda1,88,0,0.42013351865524734
Libre GL,start/180/prior0/lambda10,88,10,0.30555274770990865
Libre GL,start/180/prior0/lambda100,88,22,0.26894482241443857
Libre GL,start/60/prior0.25/lambda0,88,3,0.583369885991683
Libre GL,start/60/prior0.25/lambda0.01,88,3,0.5824555310828617
Libre GL,start/60/prior0.25/lambda0.1,88,2,0.5716486519329724
Libre GL,start/60/prior0.25/lambda1,88,1,0.5475472147669248
Libre GL,start/60/prior0.25/lambda10,88,0,0.5409178865217587
Libre GL,start/60/prior0.25/lambda100,88,0,0.549037524046133
Libre GL,start/60/prior0/lambda0,88,3,0.583369885991683
Libre GL,start/60/prior0/lambda0.01,88,3,0.5630684737762347
Libre GL,start/60/prior0/lambda0.1,88,4,0.5190779948445866
Libre GL,start/60/prior0/lambda1,88,5,0.4288351263409091
Libre GL,start/60/prior0/lambda10,88,10,0.30704846656312235
Libre GL,start/60/prior0/lambda100,88,22,0.2691372315252829
