amplitude_weight,warp_bins,k,balanced_hits,balanced_mae
0.0,0,1,0.11683238636363637,44.94140625
0.0,0,3,0.16927083333333334,38.09737872132334
0.0,3,1,0.11292613636363637,43.77521306818182
0.0,3,3,0.18359375000000003,37.65851868530136
0.0,6,1,0.10901988636363637,44.69495738636364
0.0,6,3,0.20442708333333337,37.96247471869091
0.25,0,1,0.1064157196969697,43.04332386363636
0.25,0,3,0.17447916666666666,37.07524235208089
0.25,3,1,0.11162405303030304,43.41950757575758
0.25,3,3,0.17578125,36.98725448202066
0.25,6,1,0.11162405303030304,43.33013731060606
0.25,6,3,0.13932291666666666,36.965546595624545
1.0,0,1,0.09990530303030304,43.74431818181818
1.0,0,3,0.14192708333333331,34.07115748934905
1.0,3,1,0.09990530303030304,44.16335227272727
1.0,3,3,0.15885416666666666,33.89347193357871
1.0,6,1,0.1025094696969697,44.058712121212125
1.0,6,3,0.16276041666666666,33.88501744744531
