dataset,macro,feature,adjusted_for_other_macros,partial_rank_correlation,meals,people
BIG_IDEAs_development,Fat,baseline,True,0.012117887132031253,86,6
BIG_IDEAs_development,Fat,pre_slope,False,0.18491758081108983,86,6
BIG_IDEAs_development,Fat,pre_slope,True,0.08400392501065215,86,6
BIG_IDEAs_development,Fat,peak_height,False,-0.04770763253521618,86,6
BIG_IDEAs_development,Fat,peak_height,True,-0.08786139884849824,86,6
BIG_IDEAs_development,Fat,peak_minute,False,-0.09294632719019028,86,6
BIG_IDEAs_development,Fat,peak_minute,True,-0.18302019224196986,86,6
BIG_IDEAs_development,Fat,trough,False,0.11177473234813556,86,6
BIG_IDEAs_development,Fat,trough,True,-0.014140065453816868,86,6
BIG_IDEAs_development,Fat,end_change,False,0.3021995346124375,86,6
BIG_IDEAs_development,Fat,end_change,True,0.14878994158469516,86,6
BIG_IDEAs_development,Fat,response_std,False,-0.08449941725982935,86,6
BIG_IDEAs_development,Fat,response_std,True,-0.03321874025459177,86,6
BIG_IDEAs_development,Fat,rise_max,False,-0.11787668833507811,86,6
BIG_IDEAs_development,Fat,rise_max,True,-0.119929242909964,86,6
BIG_IDEAs_development,Fat,fall_min,False,0.1854649332733041,86,6
BIG_IDEAs_development,Fat,fall_min,True,0.07746928169728858,86,6
BIG_IDEAs_development,Fat,negative_area,False,0.1123424276946291,86,6
BIG_IDEAs_development,Fat,negative_area,True,0.0034116843401169237,86,6
BIG_IDEAs_development,Fat,tail_mean,False,0.2509284760946261,86,6
BIG_IDEAs_development,Fat,tail_mean,True,0.13722937202116509,86,6
BIG_IDEAs_development,Fat,late_minus_early_peak,False,-0.0531336895190617,86,6
BIG_IDEAs_development,Fat,late_minus_early_peak,True,-0.1330001943649064,86,6
BIG_IDEAs_development,Fat,early_signed_area,False,0.05844727829488276,86,6
BIG_IDEAs_development,Fat,early_signed_area,True,-0.029630173123210462,86,6
BIG_IDEAs_development,Fat,early_positive_area,False,0.04404931969841626,86,6
BIG_IDEAs_development,Fat,early_positive_area,True,-0.017554299137420275,86,6
BIG_IDEAs_development,Fat,middle_signed_area,False,-0.06498873613200214,86,6
BIG_IDEAs_development,Fat,middle_signed_area,True,-0.10429920754533867,86,6
BIG_IDEAs_development,Fat,middle_positive_area,False,-0.05668028227997816,86,6
BIG_IDEAs_development,Fat,middle_positive_area,True,-0.09503006925580637,86,6
BIG_IDEAs_development,Fat,late_signed_area,False,0.21059797748301168,86,6
BIG_IDEAs_development,Fat,late_signed_area,True,0.11091716649295234,86,6
BIG_IDEAs_development,Fat,late_positive_area,False,0.18873428379105914,86,6
BIG_IDEAs_development,Fat,late_positive_area,True,0.1088113669553266,86,6
CGMacros,Carbs,baseline,False,-0.1405218785291544,652,34
CGMacros,Carbs,baseline,True,-0.05678817963278954,652,34
CGMacros,Carbs,pre_slope,False,0.026953090962820038,652,34
CGMacros,Carbs,pre_slope,True,0.037775950819616134,652,34
CGMacros,Carbs,peak_height,False,0.3568155804329041,652,34
CGMacros,Carbs,peak_height,True,0.42979199106674276,652,34
CGMacros,Carbs,peak_minute,False,0.16583478087241468,652,34
CGMacros,Carbs,peak_minute,True,0.07418291792062534,652,34
CGMacros,Carbs,trough,False,0.24888999907378037,652,34
CGMacros,Carbs,trough,True,0.18777675398462595,652,34
CGMacros,Carbs,end_change,False,0.3258414717162584,652,34
CGMacros,Carbs,end_change,True,0.2813588024671522,652,34
CGMacros,Carbs,response_std,False,0.3066046767801141,652,34
CGMacros,Carbs,response_std,True,0.41257522984968664,652,34
CGMacros,Carbs,rise_max,False,0.27790079075842594,652,34
CGMacros,Carbs,rise_max,True,0.3790013181989462,652,34
CGMacros,Carbs,fall_min,False,-0.14613768249926912,652,34
CGMacros,Carbs,fall_min,True,-0.24195242447561427,652,34
CGMacros,Carbs,negative_area,False,0.2938763423890234,652,34
CGMacros,Carbs,negative_area,True,0.2416586458043535,652,34
CGMacros,Carbs,tail_mean,False,0.3447485586742844,652,34
CGMacros,Carbs,tail_mean,True,0.30488827460324724,652,34
CGMacros,Carbs,late_minus_early_peak,False,0.24222202352771074,652,34
CGMacros,Carbs,late_minus_early_peak,True,0.16072471304623176,652,34
CGMacros,Carbs,early_signed_area,False,0.2220736249101413,652,34
CGMacros,Carbs,early_signed_area,True,0.3041739833815672,652,34
CGMacros,Carbs,early_positive_area,False,0.2443019606231338,652,34
CGMacros,Carbs,early_positive_area,True,0.3305632392301677,652,34
CGMacros,Carbs,middle_signed_area,False,0.3823910264550774,652,34
CGMacros,Carbs,middle_signed_area,True,0.39805121242906477,652,34
CGMacros,Carbs,middle_positive_area,False,0.3934928392962213,652,34
CGMacros,Carbs,middle_positive_area,True,0.41671762820051256,652,34
CGMacros,Carbs,late_signed_area,False,0.37180437011325645,652,34
CGMacros,Carbs,late_signed_area,True,0.34305924865147003,652,34
CGMacros,Carbs,late_positive_area,False,0.39940192563047,652,34
CGMacros,Carbs,late_positive_area,True,0.3804702825706327,652,34
CGMacros,Protein,baseline,False,-0.11191095315733252,652,34
CGMacros,Protein,baseline,True,-0.06072310333302605,652,34
CGMacros,Protein,pre_slope,False,0.07097078835976739,652,34
CGMacros,Protein,pre_slope,True,0.07793164612977185,652,34
CGMacros,Protein,peak_height,False,-0.13025024521508313,652,34
CGMacros,Protein,peak_height,True,-0.14431881474159378,652,34
CGMacros,Protein,peak_minute,False,0.006520648564140368,652,34
