group,iteration,n,hits,mape,mae
hr_activity,0,44,18,20.000213186251912,41.548833740861795
hr_activity,1,44,17,18.793621824098697,38.584033655356485
hr_activity,2,44,18,18.396389113247817,38.53291153771517
hr_activity,3,44,16,18.93221773845877,38.96303419938063
hr_activity,4,44,16,18.965117191146977,39.53129501787248
hr_activity,5,44,16,18.861837059369943,39.38223450679079
hr_activity,6,44,22,18.16377847863247,38.32969451150307
hr_activity,7,44,18,18.541333806538525,38.359698963065654
hr_activity,8,44,16,18.979132586358762,39.342227814612166
hr_activity,9,44,14,19.20894197803499,39.8086283950069
hr_activity,10,44,14,18.73969505200244,38.88944094805647
hr_activity,11,44,15,18.49641103412113,38.306930159409404
hr_activity,12,44,19,18.80760902698506,38.83362100629316
hr_activity,13,44,17,18.85366181439512,39.134228661428864
hr_activity,14,44,17,18.430288369194123,38.30989940131687
hr_activity,15,44,16,18.599476879779907,38.58783399606056
hr_activity,16,44,17,18.55876161021062,38.25654509462991
hr_activity,17,44,16,19.206254746623486,40.140490468327975
hr_activity,18,44,17,19.29460331302516,40.04757342005801
hr_activity,19,44,16,18.763980687858385,38.86756316916944
hr_activity,20,44,17,18.44263886034207,38.10759159148413
hr_activity,21,44,17,19.17701339379348,39.98796988327323
hr_activity,22,44,15,18.775109900115883,38.99824556132142
hr_activity,23,44,13,19.030304331188365,39.04619147588218
hr_activity,24,44,16,18.460938370766414,38.762232443336295
hr_activity,25,44,15,18.35544694844402,37.99684946115923
hr_activity,26,44,16,18.770651550880853,39.062309738484196
hr_activity,27,44,18,18.279289798098084,38.2996276783839
hr_activity,28,44,16,18.769279004210972,38.895906096435546
hr_activity,29,44,18,18.932781084766795,39.631074622789356
hr_activity,30,44,16,19.519934277915247,40.295418344257264
hr_activity,31,44,18,18.69757242196752,38.78256097748849
hr_activity,32,44,18,18.15705546490685,37.63190766267818
hr_activity,33,44,16,19.566218633264487,39.66023254980305
hr_activity,34,44,18,18.910657510551417,39.07689406769418
hr_activity,35,44,15,19.586605246670555,40.953646043400035
hr_activity,36,44,15,18.828046319644418,38.83536429366918
hr_activity,37,44,17,17.531267911251028,36.78663104312239
hr_activity,38,44,16,17.974192273558746,37.551936660200276
hr_activity,39,44,18,18.071701220041874,37.509569625261264
hr_activity,40,44,16,19.219487526563086,39.82579586270052
hr_activity,41,44,14,19.141555764661298,39.20222875228964
hr_activity,42,44,15,17.98220614573233,37.37156138019741
hr_activity,43,44,16,18.22649322888097,37.878340073439325
hr_activity,44,44,16,18.61649409442301,38.63079439558147
hr_activity,45,44,17,18.878175607703014,39.83681607312337
hr_activity,46,44,19,18.944883379685933,39.23768541840383
hr_activity,47,44,15,19.134311683151054,39.161509130849836
hr_activity,48,44,16,18.821624636345646,39.43020368877103
hr_activity,49,44,19,18.414937775368177,39.21708218878258
hr_activity,50,44,15,18.823898196006386,38.97148603615651
hr_activity,51,44,17,18.598276987673064,38.78778326385525
hr_activity,52,44,17,18.487645635522163,38.64951899246501
hr_activity,53,44,14,18.785829847177386,38.650296668923914
hr_activity,54,44,16,18.780265886833096,39.34393283426263
hr_activity,55,44,14,18.522953134706107,38.00665455072656
hr_activity,56,44,16,18.952350463433028,39.0939603392322
hr_activity,57,44,16,18.60472275018337,38.628303592020494
hr_activity,58,44,17,18.606873434177952,38.716413467660985
hr_activity,59,44,15,18.807090928549435,39.01929331399601
hr_activity,60,44,18,18.522668175118415,38.41730694904762
hr_activity,61,44,18,18.22752591833388,37.85658441303305
hr_activity,62,44,15,18.61215300748498,38.36165519227972
hr_activity,63,44,15,18.489118717454854,38.53909448211538
hr_activity,64,44,16,18.397032908311182,38.049404937592804
hr_activity,65,44,17,18.663140400760643,38.891336641664786
hr_activity,66,44,17,18.97043091886018,39.623711848509025
hr_activity,67,44,18,18.09105836368313,38.22122497461751
hr_activity,68,44,16,18.886629242416934,39.37987846111883
hr_activity,69,44,16,18.018402564019517,37.93597808230425
hr_activity,70,44,18,18.50213388629424,38.230920266244475
hr_activity,71,44,16,18.9997031107206,39.51970379790981
hr_activity,72,44,17,19.009239430316104,39.47030354674376
hr_activity,73,44,17,18.797722788512115,38.688771641366756
hr_activity,74,44,16,18.831630087632366,38.97175512954439
hr_activity,75,44,17,19.58360321845025,40.60021571125734
hr_activity,76,44,16,18.841870139721966,39.11664869558925
hr_activity,77,44,17,19.485140524886784,40.79794380616324
hr_activity,78,44,15,18.750188000914473,38.84990542883839
hr_activity,79,44,17,18.26017133864199,37.79323024094238
hr_activity,80,44,17,19.306220400944696,39.8237962778193
hr_activity,81,44,15,18.281678183598622,37.67852467117064
hr_activity,82,44,19,18.459433522549233,38.393303033416316
hr_activity,83,44,19,18.257308786879324,38.39460557817799
hr_activity,84,44,17,18.93287385267169,39.45516026130648
hr_activity,85,44,19,18.096377905860887,38.03814457587265
hr_activity,86,44,17,19.141128946739556,39.54848754121679
hr_activity,87,44,16,18.54111258364842,38.5744782801415
hr_activity,88,44,15,18.861564834462186,39.41025659101931
hr_activity,89,44,19,18.32885715927525,38.07487416854868
hr_activity,90,44,20,18.98811592127433,39.62669726930897
hr_activity,91,44,16,18.881550122923436,39.055426092361905
hr_activity,92,44,17,19.44483109163314,40.242643184941464
hr_activity,93,44,17,18.226351246697778,38.39389413773666
hr_activity,94,44,16,18.75923785430939,39.30656854624803
hr_activity,95,44,16,18.370134354807057,38.017747252248725
hr_activity,96,44,17,17.81944771750793,36.802096179903515
hr_activity,97,44,16,18.380128971273308,38.506582074592075
hr_activity,98,44,17,18.44990873094722,38.63205673582382
hr_activity,99,44,18,18.39148997728142,38.264282687431724
