macro,pid,slope_ratio,midpoint_drift_g,both_within10
Fat,1,0.28571428571428636,9.749999999999961,False
Fat,2,0.4651162790697662,-14.284883720930203,False
Fat,3,-0.037037037037035016,9.916666666666588,False
Fat,4,-0.12658227848101228,5.382911392405049,False
Fat,5,-1.6666666666666485,-125.99999999999854,False
Fat,6,-0.3939393939393935,5.727272727272674,False
Fat,8,0.5555555555555556,-14.000000000000114,False
Fat,9,-0.2857142857142862,-16.650000000000084,False
Fat,10,1.739130434782611,-0.6847826086957296,False
Fat,12,1.6499999999999981,35.43749999999986,False
Fat,13,0.8571428571428548,1.3500000000000114,False
Fat,14,0.23636363636363905,-12.600000000000009,False
Fat,17,1.046153846153846,5.573076923076913,False
Fat,27,-2.2499999999999862,31.500000000000316,False
Fat,31,2.0,4.973684210526333,False
Fat,32,0.20000000000000323,18.900000000000063,False
Fat,34,-0.8999999999999982,137.02499999999992,False
Fat,35,2.8400000000000096,22.68000000000016,False
Fat,36,-4.39999999999999,28.350000000000424,False
Fat,38,0.9629629629629592,-16.916666666666586,False
Fat,41,0.3243243243243263,-31.07432432432454,False
Fat,42,1.0185185185185177,14.291666666666668,False
Fat,43,-0.8333333333333223,-133.87500000000009,False
Fat,45,2.333333333333333,6.391304347826079,False
Fat,49,-15.000000000000217,136.5000000000025,False
