arm,pid,earlier_n,later_n,earlier_mean_residual,later_mean_residual,sign_reversed
plus_hr_activity,1,24,13,2.5917289927238625,-2.5746500218097244,True
plus_hr_activity,2,23,11,-6.9502755898104684,-4.3722725502710835,False
plus_hr_activity,4,28,24,25.004110074675175,10.498903078500616,False
plus_hr_activity,5,28,16,2.590792311938178,-13.257741496424122,True
plus_hr_activity,6,22,13,10.318984757589245,1.43207437394612,False
plus_hr_activity,8,19,9,15.086486005836365,1.8379722016973798,False
plus_hr_activity,9,28,7,-1.4132102404753468,6.915730922060599,True
plus_hr_activity,11,25,12,14.038105735865813,1.8972658687283015,False
plus_hr_activity,12,20,10,-0.2872841006294934,-9.707425910181124,False
plus_hr_activity,13,24,13,10.396567633417009,8.699470739357173,False
plus_hr_activity,14,16,11,3.2307496389725148,1.0845931525705836,False
plus_hr_activity,15,21,11,12.749802520633642,-3.5261379807948114,True
plus_hr_activity,17,32,14,8.68231508023921,9.17239144074251,False
plus_hr_activity,26,25,9,6.341029601675214,16.42626491619397,False
plus_hr_activity,27,19,7,17.113138773379617,0.9938777515402109,False
plus_hr_activity,41,27,9,-5.779867994733504,7.625628176163373,True
reference,1,24,13,1.4958355656792677,-4.532597141263127,True
reference,2,23,11,-11.646714765511293,-4.790011174281859,False
reference,4,28,24,22.76425300266492,10.721188303711406,False
reference,5,28,16,1.2099407931263677,-11.271258251273455,True
reference,6,22,13,11.099454547687332,8.032183027089886,False
reference,8,19,9,15.858562173395734,3.655790140437956,False
reference,9,28,7,-3.1254870001010024,4.722788497507397,True
reference,11,25,12,14.795063525868027,4.710830615796023,False
reference,12,20,10,1.2540837589529517,-8.248541472608968,True
reference,13,24,13,8.704249174510196,11.468160098965264,False
reference,14,16,11,4.192220686352007,1.0032686350067002,False
reference,15,21,11,11.45121295309903,-9.085520074019309,True
reference,17,32,14,8.805810366021403,7.669428251201849,False
reference,26,25,9,4.189349788591851,17.144931004062812,False
reference,27,19,7,19.474100310409735,6.002262783983804,False
reference,41,27,9,-7.422825719727188,4.015674040848944,True
