feature,importance
personal_deviation_ctx_hr_17,0.001099241932980371
personal_deviation_ctx_activity_20,0.001078926563705223
personal_deviation_ctx_activity_08,0.0010693195821330826
ctx_activity_13,0.0010495381979448647
next_glucose_2,0.0010434784931329538
personal_deviation_ctx_activity_02,0.0010434359353857598
ctx_prev6_hr_mean,0.001041946837234594
ctx_activity_17,0.0009899759025660015
personal_deviation_ctx_activity_22,0.0009818655063685263
ctx_hr_09,0.000970673862027638
g_block0,0.0009137198526622042
ctx_hr_06,0.0009126682210866699
ctx_prev6_hr_sd,0.0008892728863208933
next_glucose_0,0.0008891525049704607
next_hr_0,0.0008789177778441685
ctx_activity_16,0.0008588113244718427
g_block3,0.0008289518859216248
personal_deviation_ctx_activity_05,0.0008056158297293924
ctx_activity_23,0.0008036210424992039
g_q25,0.0007819756718018524
personal_deviation_ctx_prev24_glucose_mean,0.0007749357763048333
next_hr_3,0.0007699448789723374
ctx_hr_20,0.0007521360168495694
g_above_q10,0.0007458706876322067
personal_deviation_ctx_hr_06,0.0006922689195620695
g_day,0.0006364066788710868
personal_deviation_ctx_activity_10,0.0006307755714869481
g_median,0.000588162576438403
ctx_prev24_glucose_mean,0.0005877149911683785
ctx_activity_06,0.0005467136433976564
ctx_activity_01,0.0005139594159810594
ctx_hr_16,0.000512144418788504
g_night,0.000508278245353529
ctx_hr_18,0.0004930368611430762
personal_deviation_ctx_prev6_activity_mean,0.00048154584666907393
ctx_activity_18,0.00046559097870849087
personal_deviation_ctx_hr_05,0.00041907935539451513
ctx_hr_17,0.00041347050448608933
personal_deviation_ctx_activity_06,0.00040475366931135335
next_glucose_3,0.0003819757473306794
personal_deviation_ctx_activity_19,0.0003737179410991291
ctx_hr_14,0.0003276161463509881
g_block1,0.00031804660242254923
personal_deviation_next_activity_4,0.0002900217204878995
g_q75,0.00024520007123982355
personal_deviation_ctx_hr_22,0.0002313684668483622
next_glucose_4,0.00022676884558600843
g_above_100,0.00017387143809179876
ctx_prev6_glucose_mean,0.000159276657298449
g_q10,0.00013137055502075316
next_glucose_5,0.0001283524020638565
next_glucose_1,8.782427573553238e-05
g_mean,6.112120628158516e-05
personal_deviation_next_activity_5,3.859080688393906e-05
