pid,source_row,time,food,amount,unit,Carbs,Protein,Fat,Calories,complete_macros,gram_unit,macro_mass,mass_conflict,calorie_macro_mismatch,macro_kcal
6,70,2020-03-08 12:30:00,Lemon risotto,,nan,25.0,5.0,4.0,165.0,True,False,34.0,False,False,156.0
6,71,2020-03-08 12:30:00,Cheesecake,3.0,bites,6.4,1.4,5.6,80.0,True,False,13.4,False,False,81.6
6,72,2020-03-08 19:50:00,3/4 large blueberry pancake,,nan,11.0,2.3,3.5,84.0,True,False,16.8,False,False,84.7
6,73,2020-03-08 19:50:00,Baked cheetos,5.0,servings,100.0,10.0,25.0,700.0,True,False,135.0,False,False,665.0
6,74,2020-03-09 07:30:00,Boost,,nan,82.0,26.0,26.0,654.0,True,False,134.0,False,False,666.0
7,2,2020-03-14 13:44:00,(Costco) Seafood Stuffed Salmon,129.0,gram,1.5,24.0,11.0,201.0,True,True,36.5,False,False,201.0
7,3,2020-03-14 13:44:00,(Green Giant) Rice Cauliflower - Plain,58.0,gram,2.9,1.1,0.2,15.0,True,True,4.2,False,False,17.8
7,4,2020-03-14 13:44:00,(Dayka and Hackett) Navel Orange,212.0,gram,27.0,1.9,0.3,104.0,True,True,29.2,False,False,118.3
7,5,2020-03-14 17:55:00,Salad - Butter Lettuce,171.0,gram,8.5,2.5,0.4,171.0,True,True,11.4,False,True,47.6
7,6,2020-03-14 17:55:00,Chickpeas,71.0,gram,19.0,6.3,1.8,116.0,True,True,27.1,False,False,117.4
7,7,2020-03-14 17:55:00,Red Onion,26.0,gram,2.6,0.4,0.0,11.4,True,True,3.0,False,False,12.0
7,8,2020-03-14 17:55:00,Chicken,59.0,gram,0.0,14.0,7.7,130.0,True,True,21.7,False,False,125.3
7,9,2020-03-14 17:55:00,(Toast) Red Wine Vinegrette,1.0,tablespoon,1.8,0.1,3.1,35.0,True,False,5.0,False,False,35.5
7,10,2020-03-14 20:30:00,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,48.0,8.0,2.0,200.0,True,False,58.0,False,True,242.0
7,11,2020-03-14 20:30:00,Virgil's Zero Sugar Black Cherry Soda,12.0,ounce,0.0,0.0,0.0,0.0,True,False,0.0,False,False,0.0
7,12,2020-03-14 22:25:00,(Peppridge Farm) Whole Wheat Hamburger Bun,1.0,nan,22.0,7.0,1.5,130.0,True,False,30.5,False,False,129.5
7,13,2020-03-14 22:25:00,(Jif) Extra Crunchy Peanut Butter,2.0,tablespoon,8.0,7.0,16.0,190.0,True,False,31.0,False,False,204.0
7,14,2020-03-15 10:05:00,(Quaker) Old Fashioned Oats,1.0,nan,27.0,5.0,3.0,150.0,True,False,35.0,False,False,155.0
7,15,2020-03-15 10:05:00,(Red Delicious) Apple with Skin,113.0,gram,30.0,0.6,0.4,125.0,True,True,31.0,False,False,126.0
7,16,2020-03-15 10:05:00,Ground Flaxseeds,1.0,tablespoon,3.0,1.9,4.3,55.0,True,False,9.2,False,False,58.3
7,17,2020-03-15 10:05:00,(Now) Whole Psyllium Husks,2.0,tablespoon,8.0,0.0,0.0,35.0,True,False,8.0,False,False,32.0
7,18,2020-03-15 10:05:00,(Harris Teeter) Fat Free Organic Milk,1.0,cup,13.0,8.0,0.0,80.0,True,False,21.0,False,False,84.0
7,19,2020-03-15 13:00:00,(Peppridge Farm) Whole Wheat Hamburger Bun,1.0,nan,22.0,7.0,1.5,130.0,True,False,30.5,False,False,129.5
7,20,2020-03-15 13:00:00,(Jif) Extra Crunchy Peanut Butter,2.0,tablespoon,8.0,7.0,16.0,190.0,True,False,31.0,False,False,204.0
7,21,2020-03-15 16:35:00,"Homemade Chicken Noodle Soup with chicken, onion, celery, (Kirkland) organic chicken stock, and (Amish Kitchens) wide egg noodles",2.0,cup,15.0,6.3,4.7,124.0,True,False,26.0,False,False,127.5
7,22,2020-03-15 19:05:00,Tilapia,58.0,gram,0.0,15.0,1.5,74.0,True,True,16.5,False,False,73.5
7,23,2020-03-15 19:05:00,(Harris Teeter) Charleston Crabcake,52.0,gram,3.7,5.8,5.7,90.0,True,True,15.2,False,False,89.30000000000001
7,24,2020-03-15 19:05:00,(Green Giant) Rice Cauliflower - Plain,42.0,gram,2.1,0.8,0.1,10.5,True,True,3.0000000000000004,False,False,12.500000000000002
7,25,2020-03-15 19:05:00,Broccoli - Steamed,85.0,gram,6.1,2.0,0.3,30.0,True,True,8.4,False,False,35.1
7,26,2020-03-15 19:05:00,Lemon Juice,1.0,teaspoon,0.3,0.0,0.0,0.8,True,False,0.3,False,True,1.2
7,27,2020-03-15 20:50:00,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,48.0,8.0,2.0,200.0,True,False,58.0,False,True,242.0
7,28,2020-03-15 20:50:00,Virgil's Zero Sugar Black Cherry Soda,12.0,ounce,0.0,0.0,0.0,0.0,True,False,0.0,False,False,0.0
7,29,2020-03-16 09:45:00,Std bfast,,nan,56.5,8.0,2.5,280.0,True,False,67.0,False,False,280.5
7,30,2020-03-16 13:00:00,(Firebirds Wood Fired Grill) Steak Sandwich with lettuce and onion,0.5,nan,26.5,20.5,14.0,315.0,True,False,61.0,False,False,314.0
7,31,2020-03-16 13:00:00,(Firebirds Wood Fired Grill) Seasoned Steak Fries,0.75,nan,59.3,6.8,21.0,457.5,True,False,87.1,False,False,453.4
7,32,2020-03-16 13:00:00,(Alex's) Lemonade,8.0,ounce,26.0,0.2,0.1,99.0,True,False,26.3,False,False,105.7
7,33,2020-03-16 18:10:00,Butter Lettuce,85.0,gram,1.9,1.1,0.2,11.0,True,True,3.2,False,True,13.8
7,34,2020-03-16 18:10:00,Red Onion,17.0,gram,1.7,0.2,0.0,7.5,True,True,1.9,False,False,7.6
7,35,2020-03-16 18:10:00,(Toast) Red Wine Vinegrette,1.0,teaspoon,0.6,0.0,1.0,12.0,True,False,1.6,False,False,11.4
7,36,2020-03-16 18:10:00,Tilapia,50.0,gram,0.0,12.9,1.3,63.8,True,True,14.200000000000001,False,False,63.300000000000004
7,37,2020-03-16 18:10:00,(Harris Teeter) Charleston Crabcake,29.0,gram,2.1,3.2,3.2,50.2,True,True,8.5,False,False,50.0
7,38,2020-03-16 18:10:00,Lemon Juice,1.0,teaspoon,0.3,0.0,0.0,0.8,True,False,0.3,False,True,1.2
7,39,2020-03-16 18:40:00,Pecans,30.0,gram,4.2,2.8,22.0,207.0,True,True,29.0,False,False,226.0
7,40,2020-03-16 21:00:00,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,48.0,8.0,2.0,200.0,True,False,58.0,False,True,242.0
7,41,2020-03-16 22:30:00,(Peppridge Farm) Whole Wheat Hamburger Bun,1.0,nan,22.0,7.0,1.5,130.0,True,False,30.5,False,False,129.5
7,42,2020-03-16 22:30:00,Smart Balance,7.0,gram,0.0,0.0,4.5,41.0,True,True,4.5,False,False,40.5
7,43,2020-03-16 22:30:00,Navel Orange,212.0,gram,27.0,1.9,0.3,104.0,True,True,29.2,False,False,118.3
7,44,2020-03-17 12:10:00,(Quaker) Old Fashioned Oats,1.0,nan,27.0,5.0,3.0,150.0,True,False,35.0,False,False,155.0
7,45,2020-03-17 12:10:00,(Red Delicious) Apple with Skin,115.0,gram,16.0,0.3,0.2,68.0,True,True,16.5,False,False,67.0
