group,n,hits,mae,median_error_g
regularized_training,211,47,17.924429691594472,13.890314487351262
regularized_later,107,5,27.573520170048035,30.27161881548774
previous_later,107,11,34.87598826841154,25.701143144148787
training_mean_later,107,3,29.02188067502325,33.03791469194313
